area_ha,region,dist_perc,year,extent_m2,grid_n,grid_area_m2,cent_lon,cent_lat,min_lon,min_lat,max_lon,max_lat,samples_total_checklists,samples_median_checklists,samples_total_obs,samples_median_obs,samples_date_min,samples_date_max,samples_n_years_min,samples_n_years_max,samples_n_years_median
10000,18 - Shortgrass Prairie,dist_100,2019,214456711407.1472,36,3633148993.250511,-103.73240942052276,38.3049901192283,-105.22884439252215,33.94297482321118,-101.56016803572857,42.61091829593444,2541,13,59,1,18017,18108,6,13,11
10000,18 - Shortgrass Prairie,dist_100,2020,203759106038.132,29,2926703355.674,-103.78415195294816,38.17395810490766,-105.26228580235237,33.91253227498064,-101.9552041524265,42.63896442733774,2653,18,59,1,18383,18474,5,13,12
10000,18 - Shortgrass Prairie,dist_100,2021,243824665769.2558,40,4036832214.722782,-103.7753889990353,37.84864871380858,-105.26818227593276,33.91253227498064,-101.56016803572857,42.70067695226183,5375,10,54,1,18748,18839,5,13,11
10000,18 - Shortgrass Prairie,dist_100,2022,224044187917.11325,40,4036832214.7227707,-103.76554054557617,38.43980416634762,-105.21926465301317,33.395831763929635,-101.17740614837248,42.4951740984587,6668,17,72,1,19113,19204,5,13,11.5
10000,19 - Central Mixed Grass Prairie,dist_100,2010,3935911409.354767,2,201841610.7361412,-100.9825238436108,42.384160072104734,-102.61964796702884,41.972041260309744,-99.3253543123267,42.775979083405296,2,1,2,1,14746,14765,7,9,8
10000,19 - Central Mixed Grass Prairie,dist_100,2011,100920805.36807251,1,100920805.36807251,-100.48966431009043,31.5200076892176,-100.55420858038852,31.458416075194133,-100.42506887741692,31.58159136624223,1,1,1,1,15162,15162,11,11,11
10000,19 - Central Mixed Grass Prairie,dist_100,2012,93755428186.93633,3,302762416.1042061,-100.41728283132366,39.29402391089715,-102.51174927607607,34.24878976702924,-98.80757997040001,41.8976430336998,8,3,4,1,15479,15540,9,10,10
10000,19 - Central Mixed Grass Prairie,dist_100,2013,15289502013.262604,5,504604026.84033966,-101.04887418467376,42.08952553639692,-102.51174927607607,41.650635717351676,-99.3253543123267,42.775979083405296,13,1,5,1,15838,15890,5,10,7
10000,19 - Central Mixed Grass Prairie,dist_100,2014,13220625503.217625,2,201841610.73613358,-99.40021029261088,38.041280710349376,-99.48200956794186,33.31451325746665,-99.3253543123267,42.775979083405296,6,3,4,2,16221,16277,7,11,9
10000,19 - Central Mixed Grass Prairie,dist_100,2015,75993366442.15598,5,504604026.84033966,-100.3735954502188,40.30565350391466,-101.54093178069223,37.58775849974098,-98.51158218966926,42.9636869537255,37,9,5,1,16558,16639,5,12,6
10000,19 - Central Mixed Grass Prairie,dist_100,2016,140481761072.3522,6,605524832.2084236,-100.64687936062893,39.70333829423504,-102.51174927607607,33.697530381958686,-99.3253543123267,42.775979083405296,23,3,8,1,16923,16983,6,10,7.5
10000,19 - Central Mixed Grass Prairie,dist_100,2017,205676601340.12592,8,807366442.9445496,-100.58894478582177,38.6716491250206,-102.61964796702884,34.24878976702924,-98.80757997040001,42.65685258347969,55,3,8,1,17291,17373,7,10,9.5
10000,19 - Central Mixed Grass Prairie,dist_100,2018,230957263084.8267,11,1110128859.0487595,-100.90103910689072,39.846207069203174,-102.57652044343011,34.28392611554124,-97.53117285119436,42.522984649293214,415,6,17,1,17652,17743,5,13,9
10000,19 - Central Mixed Grass Prairie,dist_100,2019,85984526173.59537,9,908287248.3126297,-101.09763431776645,39.66860908130866,-102.51174927607607,33.91469002806589,-98.73252206843863,42.885984529570045,29,2,9,1,18020,18097,5,10,6
